trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00006000,2024-09-20 11:53:37,TDB_CUST_6413779,JPM,SELL,492,470.35
TDB_00006001,2024-09-24 13:35:03,TDB_CUST_9242495,JPM,SELL,270,175.6
TDB_00006002,2024-09-21 23:50:05,TDB_CUST_5238354,NVDA,BUY,711,906.43
TDB_00006003,2024-09-22 09:20:29,TDB_CUST_3875654,AAPL,BUY,895,453.41
TDB_00006004,2024-09-23 10:56:15,TDB_CUST_3146764,FB,BUY,758,1091.91
TDB_00006005,2024-09-22 21:47:14,TDB_CUST_6609048,NVDA,BUY,321,1073.33
TDB_00006006,2024-09-23 09:29:36,TDB_CUST_9839011,AAPL,BUY,285,398.89
TDB_00006007,2024-09-19 01:23:01,TDB_CUST_4788390,FB,SELL,819,383.98
TDB_00006008,2024-09-25 06:43:52,TDB_CUST_7883095,JPM,BUY,791,1324.24
TDB_00006009,2024-09-20 18:50:54,TDB_CUST_9473921,GOOGL,SELL,847,1056.63
TDB_00006010,2024-09-18 18:55:55,TDB_CUST_7600624,TSLA,BUY,634,89.07
TDB_00006011,2024-09-25 00:15:15,TDB_CUST_7395987,MSFT,SELL,110,1097.18
TDB_00006012,2024-09-20 16:14:30,TDB_CUST_8125483,V,SELL,275,1153.83
TDB_00006013,2024-09-22 19:48:12,TDB_CUST_3723988,MSFT,BUY,628,204.7
TDB_00006014,2024-09-24 00:28:48,TDB_CUST_2983636,AMZN,BUY,139,1076.72
TDB_00006015,2024-09-19 21:50:23,TDB_CUST_2714255,JPM,SELL,20,1244.66
TDB_00006016,2024-09-20 10:24:47,TDB_CUST_5450936,NVDA,SELL,668,1295.35
TDB_00006017,2024-09-25 09:54:10,TDB_CUST_6325818,NFLX,SELL,128,1009.81
TDB_00006018,2024-09-18 18:55:45,TDB_CUST_9041083,MSFT,BUY,582,1173.38
TDB_00006019,2024-09-25 14:09:02,TDB_CUST_6729875,JPM,SELL,709,219.84
TDB_00006020,2024-09-22 12:55:46,TDB_CUST_7101205,MSFT,SELL,194,1381.2
TDB_00006021,2024-09-25 05:17:34,TDB_CUST_9167239,TSLA,BUY,538,377.61
TDB_00006022,2024-09-22 20:29:35,TDB_CUST_8429842,AMZN,SELL,464,518.65
TDB_00006023,2024-09-22 01:48:37,TDB_CUST_9900380,AAPL,BUY,589,332.86
TDB_00006024,2024-09-22 21:01:59,TDB_CUST_7929944,AMZN,BUY,744,975.97
TDB_00006025,2024-09-24 21:37:15,TDB_CUST_7595081,AAPL,BUY,583,1193.61
TDB_00006026,2024-09-19 03:15:43,TDB_CUST_4651512,NFLX,SELL,169,1357.12
TDB_00006027,2024-09-23 10:56:51,TDB_CUST_5741566,JPM,BUY,580,373.32
TDB_00006028,2024-09-25 18:05:20,TDB_CUST_8886308,AAPL,BUY,403,643.54
TDB_00006029,2024-09-23 08:09:42,TDB_CUST_4629477,FB,BUY,237,870.83
TDB_00006030,2024-09-19 20:25:06,TDB_CUST_8494725,NVDA,SELL,398,756.57
TDB_00006031,2024-09-24 22:24:30,TDB_CUST_2691184,AAPL,BUY,766,620.06
TDB_00006032,2024-09-21 14:28:16,TDB_CUST_3371613,AAPL,SELL,845,755.26
TDB_00006033,2024-09-19 03:27:04,TDB_CUST_4504252,NVDA,BUY,512,740.56
TDB_00006034,2024-09-24 15:49:54,TDB_CUST_5083089,FB,SELL,630,506.41
TDB_00006035,2024-09-22 07:52:49,TDB_CUST_4872631,AMZN,SELL,696,375.25
TDB_00006036,2024-09-23 07:22:35,TDB_CUST_4926431,V,BUY,565,1420.7
TDB_00006037,2024-09-24 12:47:52,TDB_CUST_9164613,NFLX,SELL,659,540.6
TDB_00006038,2024-09-24 20:32:00,TDB_CUST_2184239,AMZN,SELL,509,829.53
TDB_00006039,2024-09-23 13:30:04,TDB_CUST_4744848,JPM,BUY,238,614.23
TDB_00006040,2024-09-22 10:58:03,TDB_CUST_2258460,MSFT,SELL,919,1321.79
TDB_00006041,2024-09-18 20:48:59,TDB_CUST_5688336,FB,SELL,524,1259.76
TDB_00006042,2024-09-19 05:10:46,TDB_CUST_2793877,JPM,SELL,570,1090.85
TDB_00006043,2024-09-19 17:22:42,TDB_CUST_9308499,NFLX,BUY,913,731.72
TDB_00006044,2024-09-22 15:30:06,TDB_CUST_1567022,NVDA,BUY,421,369.9
TDB_00006045,2024-09-23 05:12:36,TDB_CUST_5700686,AAPL,SELL,751,1213.33
TDB_00006046,2024-09-21 12:52:49,TDB_CUST_7268213,NVDA,BUY,784,167.47
TDB_00006047,2024-09-24 15:43:10,TDB_CUST_4186412,V,SELL,854,738.1
TDB_00006048,2024-09-19 03:15:56,TDB_CUST_7373817,AMZN,SELL,808,743.99
TDB_00006049,2024-09-18 21:46:50,TDB_CUST_6715120,MSFT,BUY,131,1344.03
TDB_00006050,2024-09-22 03:54:11,TDB_CUST_1963468,AAPL,BUY,624,540.14
TDB_00006051,2024-09-25 08:39:09,TDB_CUST_6694824,MSFT,SELL,968,1487.9
TDB_00006052,2024-09-18 18:53:40,TDB_CUST_4461212,TSLA,SELL,937,1289.45
TDB_00006053,2024-09-23 21:33:04,TDB_CUST_7569212,JPM,BUY,160,973.59
TDB_00006054,2024-09-18 20:26:06,TDB_CUST_4502689,NVDA,SELL,473,1389.62
TDB_00006055,2024-09-25 17:39:14,TDB_CUST_6490556,TSLA,BUY,952,831.61
TDB_00006056,2024-09-19 19:12:06,TDB_CUST_9383381,AAPL,SELL,981,17.97
TDB_00006057,2024-09-21 03:32:47,TDB_CUST_2098951,V,BUY,114,879.66
TDB_00006058,2024-09-25 14:41:06,TDB_CUST_7759322,V,BUY,600,15.13
TDB_00006059,2024-09-23 16:09:01,TDB_CUST_8569131,AMZN,SELL,492,537.77
TDB_00006060,2024-09-21 08:26:41,TDB_CUST_8804689,NFLX,BUY,943,260.55
TDB_00006061,2024-09-24 23:21:26,TDB_CUST_6172959,MSFT,SELL,426,733.27
TDB_00006062,2024-09-19 06:32:46,TDB_CUST_7570671,FB,SELL,668,1294.07
TDB_00006063,2024-09-20 13:08:48,TDB_CUST_8870754,MSFT,SELL,560,671.62
TDB_00006064,2024-09-24 02:20:48,TDB_CUST_1913875,V,BUY,348,1299.88
TDB_00006065,2024-09-21 02:03:01,TDB_CUST_2374403,TSLA,BUY,808,440.94
TDB_00006066,2024-09-24 15:17:21,TDB_CUST_4354916,MSFT,SELL,781,302.34
TDB_00006067,2024-09-19 00:10:04,TDB_CUST_6397861,NFLX,BUY,267,351.0
TDB_00006068,2024-09-24 15:31:11,TDB_CUST_3629255,GOOGL,BUY,979,139.37
TDB_00006069,2024-09-19 21:09:54,TDB_CUST_6980867,JPM,BUY,130,120.14
TDB_00006070,2024-09-19 19:54:42,TDB_CUST_6039639,TSLA,BUY,901,1158.09
TDB_00006071,2024-09-19 22:54:52,TDB_CUST_6659073,AMZN,BUY,828,231.04
TDB_00006072,2024-09-24 23:09:10,TDB_CUST_9041720,MSFT,BUY,965,243.41
TDB_00006073,2024-09-21 19:56:43,TDB_CUST_2968740,MSFT,SELL,716,560.83
TDB_00006074,2024-09-25 07:55:33,TDB_CUST_1501709,JPM,BUY,542,421.54
TDB_00006075,2024-09-25 07:11:35,TDB_CUST_6161661,AAPL,BUY,567,645.94
TDB_00006076,2024-09-22 04:13:47,TDB_CUST_8628678,GOOGL,SELL,578,750.16
TDB_00006077,2024-09-23 08:02:21,TDB_CUST_4569763,V,BUY,767,311.15
TDB_00006078,2024-09-24 09:06:27,TDB_CUST_3886506,AAPL,BUY,745,1416.6
TDB_00006079,2024-09-19 05:42:44,TDB_CUST_5910403,GOOGL,SELL,775,1318.64
